track,artist,popularity,artist_popularity,artist_followers,duration_min,is_explicit,release_year,genre,album_tracks,hit_flag
Trippy Mane (ft. Project Pat),Diplo,0,77,2812821,1.55,1,2025,moombahton,9,0
OMG!,Yelawolf,0,64,2363438,3.07,1,2025,country hip hop,1,0
Hard 2 Find,Riff Raff,4,48,193302,2.55,1,2025,Other,1,0
Still Get Like That (ft. Project Pat & Starrah),Diplo,30,77,2813710,1.69,1,2025,moombahton,9,0
ride me like a harley,Rumelis,0,48,8682,2.39,1,2025,dark r&b,2,0
BLEED,Minzie,2,46,7218,2.76,0,2025,dark r&b,3,0
Te Procuro na Cidade,AZERDK,20,30,1657,4.12,0,2025,Other,1,0
come closer,Rumelis,27,49,8802,2.53,0,2025,dark r&b,2,0
Cupido Vagabundo,Toni dos Anjos,16,6,475,2.92,0,2025,Other,2,0
LET’S GO!,PsychoYP,33,48,154802,2.4,1,2025,nigerian drill,1,0
Stray,What Matters The Most,30,25,814,2.49,0,2025,Other,4,0
PAPARAZZI ARRIVE - English Ver.,A2O,48,46,13826,2.89,0,2025,c-pop,14,0
Root of all Evil,Daniel Caesar,65,85,11137714,4.41,0,2025,Other,12,0
Let’s Go!!,Ovi Jozi,0,17,3567,2.05,1,2025,Other,6,0
MELODY - CHENYU & SHIJIE & QUCHANG,A2O,27,46,13590,4.25,0,2025,c-pop,14,0
My Muse,Leon Thomas,67,74,735818,2.75,1,2025,Other,7,0
A Real Good Bad One,Joe Hermes,31,23,1518,2.73,0,2025,Other,1,0
BOSS - English Ver.,A2O,33,46,13826,2.92,0,2025,c-pop,14,0
Bridges,Scarlett Butler,11,3,364,2.91,0,2025,Other,1,0
Can't Go Back,LEROCQUE,30,23,13770,2.43,0,2025,Other,1,0
Deeply Still,Xander Ward,35,35,729,2.91,0,2025,Other,1,0
Eggshell Tap Dancer,The All-American Rejects,52,67,3134186,3.78,0,2025,pop punk,4,0
Eyes on You,Smith & Liddle,22,17,543,4.26,0,2025,Other,3,0
superstar,Artemas,59,74,1378935,2.82,1,2025,Other,14,0
Trim,YUNG ALPO,1,24,166,2.62,1,2025,Other,1,0
Trip,A2O,32,46,13826,3.26,0,2025,c-pop,14,0
HEARTBREAK SZN,PRAX,32,23,1982,2.89,1,2025,Other,1,0
Higher Vibration,Mark II,35,25,722,2.4,0,2025,Other,2,0
Hold On (We Are Going Home),Suark,34,32,1496,3.58,0,2025,Other,1,0
Kay,Vince Bello,2,6,84,3.85,0,2025,Other,1,0
